,Name,Smile,total,H,P,D,D predicted,P predicted,H predicted,PREDICTED SOL^2,PREDICTED SOL
10,3-METHYLPENTANE,CCC(C)CC,14.67,0.0,0.0,14.67,14.716492,0.6318989,0.3181507,217.07565,14.733487
11,"2,4-DIMETHYLHEXANE",CCC(C)CC(C)C,14.65,0.0,0.0,14.65,15.105976,0.50646913,0.2614143,228.51538,15.116725
14,benzene,C1=CC=CC=C1,18.41,2.05,1.02,18.2670523073648,18.471643,1.3450316,2.9104867,351.48166,18.747845
15,toluene,CC1=CC=CC=C1,18.32,2.0,1.4,18.1566076126572,18.438234,1.2574935,2.4988208,347.79388,18.649233
16,STYRENE,C=CC1=CC=CC=C1,19.07,4.1,1.0,18.5971745165764,19.131344,1.1423348,2.614927,374.1511,19.342985
17,O-XYLENE,CC1=CC=CC=C1C,18.2,3.1,1.0,17.9061441968951,18.057524,1.2574935,2.8371382,335.7048,18.322248
18,tetralin,C1CCC2=CC=CC=C2C1,19.8,2.9,2.0,19.484096078597,18.988295,1.0063745,3.0960982,371.15393,19.265356
19,acetone,CC(=O)C,19.95,6.95,10.43,15.5214400105145,15.508803,10.246461,7.121037,396.2221,19.905329
20,ACETOPHENONE,CC(=O)C1=CC=CC=C1,21.73,3.68,8.59,19.6179101843188,19.024078,8.340971,4.5779886,452.44534,21.270763
21,ETHYL ACETATE,CCOC(=O)C,18.48,9.2,5.85,14.9213906858577,15.76528,5.7741284,7.9077077,344.41644,18.55846
22,Butyl acetate,CCCCOC(=O)C,17.59,6.3,3.7,16.0008781009043,15.8054695,4.8983293,6.3566446,314.2134,17.726067
24,METHYL METHACRYLATE,CC(=C)C(=O)OC,17.92,5.4,6.5,15.802417536567,15.827494,6.300177,7.105824,340.69452,18.457912
28,carbon dioxide,C(=O)=O,14.56,4.1,6.9,12.1479874876458,15.292728,8.8690605,8.739996,388.91528,19.720936
29,CHLOROFORM,C(Cl)(Cl)Cl,18.94,5.73,3.07,17.7894856586693,17.33355,4.7011256,3.9826477,338.414,18.396032
30,DICHLOROMETHANE,C(Cl)Cl,20.79,4.09,7.36,19.0085875330073,17.366352,7.257229,5.3719153,383.11502,19.573324
31,VINYL CHLORIDE,C=CCl,17.77,2.4,6.5,16.3634623475596,16.318544,6.9718657,3.6464562,328.19843,18.116247
32,chlorobenzene,C1=CC=C(C=C1)Cl,19.61,2.05,4.3,19.0226076025344,19.856821,6.5468554,2.4390557,443.10367,21.050028
40,phenol,C1=CC=C(C=C1)O,24.63,14.9,5.9,18.703392740356,19.638517,7.6206894,14.090153,642.2787,25.343218
41,ETHYLENE GLYCOL,C(CO)O,33.7,25.77,11.05,18.6947746710144,16.441713,10.247246,26.42747,1073.7471,32.76808
42,propylene glycol,CC(CO)O,29.52,23.32,9.41,15.4615620168209,15.678833,6.8960595,20.333233,706.8218,26.58612
43,glycerol,C(C(CO)O)O,34.12,29.25,12.07,12.7642861139979,16.441898,11.8402815,27.206984,1150.7483,33.92268
47,formamide,C(=O)N,36.65,19.0,26.2,17.1983284071447,15.631551,16.597656,13.268257,695.8742,26.379427
50,dimethyl sulfoxide,CS(=O)C,26.75,10.2,16.4,18.5084440188796,16.425056,10.773093,7.603651,443.65753,21.063179
51,acetic acid,CC(=O)O,21.35,13.52,7.98,14.4689909807146,15.904556,11.005862,19.770975,764.97534,27.658188
52,ACRYLIC ACID,C=CC(=O)O,24.01,14.9,6.4,17.7062164224885,16.348814,7.6196504,11.99325,469.18085,21.660583
53,propionic acid,CCC(=O)O,19.95,12.4,5.3,14.7021256966467,15.678833,8.328157,12.444207,470.0423,21.680458
54,butyric acid,CCCC(=O)O,20.2,10.6,4.1,16.6994011868689,15.9279,6.207016,11.75305,430.35925,20.745102
55,METHACRYLIC ACID,CC(=C)C(=O)O,21.0,10.2,2.8,18.1416647527177,16.49423,9.044443,11.270298,480.8812,21.929003
56,octanoic acid,CCCCCCCC(=O)O,22.24,8.2,3.3,20.4080278322037,16.126783,5.1203847,11.26631,413.22125,20.327845
57,oleicacid,CCCCCCCC/C=C\CCCCCCCC(=O)O,17.38,5.5,3.1,16.1927267623461,16.126783,3.9159994,5.8913374,310.11606,17.610113
58,stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,19.04,5.5,3.3,17.927119121599,16.126783,3.9159994,5.8913374,310.11606,17.610113
