,Name,Smile,total,H,P,D,D predicted,P predicted,H predicted,PREDICTED SOL^2,PREDICTED SOL
0,3-METHYLPENTANE,CCC(C)CC,14.67,0.0,0.0,14.67,15.517989,0.5833096,0.18566152,241.18271,15.530058
1,"2,4-DIMETHYLHEXANE",CCC(C)CC(C)C,14.65,0.0,0.0,14.65,15.457609,0.5833096,0.013711927,239.27812,15.468617
2,benzene,C1=CC=CC=C1,18.41,2.05,1.02,18.2670523073648,18.338095,1.486728,2.9877486,347.4227,18.639278
3,toluene,CC1=CC=CC=C1,18.32,2.0,1.4,18.1566076126572,17.911938,1.486728,3.0558662,332.3862,18.231462
4,STYRENE,C=CC1=CC=CC=C1,19.07,4.1,1.0,18.5971745165764,18.363636,1.486728,3.867537,354.39133,18.825285
5,O-XYLENE,CC1=CC=CC=C1C,18.2,3.1,1.0,17.9061441968951,17.941154,0.9676704,2.874031,331.08142,18.195642
6,tetralin,C1CCC2=CC=CC=C2C1,19.8,2.9,2.0,19.484096078597,18.873068,1.196437,1.4913659,359.84833,18.96967
7,acetone,CC(=O)C,19.95,6.95,10.43,15.5214400105145,15.11078,10.938471,6.6188803,391.79538,19.793821
8,ACETOPHENONE,CC(=O)C1=CC=CC=C1,21.73,3.68,8.59,19.6179101843188,18.71553,8.252118,4.8461537,441.85373,21.020317
9,ETHYL ACETATE,CCOC(=O)C,18.48,9.2,5.85,14.9213906858577,15.5246935,6.4401603,7.735596,342.33124,18.502195
10,Butyl acetate,CCCCOC(=O)C,17.59,6.3,3.7,16.0008781009043,15.430281,4.11918,6.453736,296.7119,17.225328
11,METHYL METHACRYLATE,CC(=C)C(=O)OC,17.92,5.4,6.5,15.802417536567,15.842696,6.4401603,5.838095,326.55005,18.070696
15,VINYL CHLORIDE,C=CCl,17.77,2.4,6.5,16.3634623475596,15.933132,7.7587523,2.762892,321.6965,17.9359
16,chlorobenzene,C1=CC=C(C=C1)Cl,19.61,2.05,4.3,19.0226076025344,19.184687,6.4120445,2.9383008,417.80014,20.44016
17,phenol,C1=CC=C(C=C1)O,24.63,14.9,5.9,18.703392740356,19.101128,7.5956407,15.079753,649.9458,25.494034
18,ETHYLENE GLYCOL,C(CO)O,33.7,25.77,11.05,18.6947746710144,16.637505,9.111208,26.312601,1052.1736,32.437225
19,propylene glycol,CC(CO)O,29.52,23.32,9.41,15.4615620168209,15.941777,7.4442844,21.962473,791.90784,28.140858
20,glycerol,C(C(CO)O)O,34.12,29.25,12.07,12.7642861139979,17.100302,10.880353,27.475174,1165.6876,34.142166
21,formamide,C(=O)N,36.65,19.0,26.2,17.1983284071447,15.5116415,14.448928,14.906439,671.5845,25.914948
22,dimethyl sulfoxide,CS(=O)C,26.75,10.2,16.4,18.5084440188796,16.437634,10.938176,8.206393,457.1844,21.38187
23,acetic acid,CC(=O)O,21.35,13.52,7.98,14.4689909807146,15.967667,11.166767,16.826488,662.7938,25.744781
24,ACRYLIC ACID,C=CC(=O)O,24.01,14.9,6.4,17.7062164224885,16.570854,10.150689,10.732098,492.80762,22.19927
25,propionic acid,CCC(=O)O,19.95,12.4,5.3,14.7021256966467,15.572717,8.3947315,13.098697,484.5569,22.012653
26,butyric acid,CCCC(=O)O,20.2,10.6,4.1,16.6994011868689,15.886848,7.3521066,12.512461,463.0071,21.5176
27,METHACRYLIC ACID,CC(=C)C(=O)O,21.0,10.2,2.8,18.1416647527177,16.339804,8.3947315,11.778529,476.19446,21.82188
28,octanoic acid,CCCCCCCC(=O)O,22.24,8.2,3.3,20.4080278322037,16.308012,5.876995,12.180653,448.85864,21.186285
29,oleicacid,CCCCCCCC/C=C\CCCCCCCC(=O)O,17.38,5.5,3.1,16.1927267623461,16.415894,3.8827927,5.671748,316.72638,17.796808
30,stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,19.04,5.5,3.3,17.927119121599,16.451212,4.053466,5.5543027,317.92322,17.830402
